,index,prediction,realValue,accuracy
0,0,14971458,17615166,84.99
1,1,12988771,14410931,90.13
2,2,12898652,14262636,90.44
3,3,10869044,13338087,81.49
4,4,12557391,13414200,93.61
5,5,11732769,12983841,90.36
6,6,11645470,12811435,90.9
7,7,11875502,12706663,93.46
8,8,10274969,12323595,83.38
9,9,11826518,12189195,97.02
10,10,11123731,11566862,96.17
11,11,11073880,11324561,97.79
12,12,11355524,11374879,99.83
13,13,9992015,10494499,95.21
14,14,9891311,10296101,96.07
15,15,10393958,10309432,99.18
16,16,9100687,9707581,93.75
17,17,8903931,9135806,97.46
18,18,8154929,9001331,90.6
19,19,8880966,9350351,94.98
20,20,9292501,8677249,92.91
21,21,8820435,8659725,98.14
22,22,8276626,8666208,95.5
23,23,11517452,8035181,56.66
24,24,8263319,8223342,99.51
25,25,7357467,7817618,94.11
26,26,6851308,7785189,88.0
27,27,7236677,7759761,93.26
28,28,5701705,7508976,75.93
29,29,3631790,7393443,49.12
30,30,7119508,7500457,94.92
31,31,7052526,7470633,94.4
32,32,8122889,7363139,89.68
33,33,7304313,7258678,99.37
34,34,7949248,7231770,90.08
35,35,7082615,7166532,98.83
36,36,7318126,7150586,97.66
37,37,7108855,7120780,99.83
38,38,7504156,7074891,93.93
39,39,7226284,7072507,97.83
40,40,7368053,7050475,95.5
41,41,7214584,6975571,96.57
42,42,7272572,6959083,95.5
43,43,8446790,6879989,77.23
44,44,7062736,6880535,97.35
45,45,6790735,6686054,98.43
46,46,6016178,6655068,90.4
47,47,8095655,6592151,77.19
48,48,6656313,6399303,95.98
49,49,8103208,6178617,68.85
50,50,6607310,6247651,94.24
51,51,7978553,6065474,68.46
52,52,5454711,6126488,89.03
53,53,5416478,6129681,88.36
54,54,6869073,6044956,86.37
55,55,5091058,5835017,87.25
56,56,5428070,5920977,91.68
57,57,6050511,5653270,92.97
58,58,5403250,5604106,96.42
59,59,4255762,5599665,76.0
60,60,5439377,5584139,97.41
61,61,5762178,5546823,96.12
62,62,6063220,5416829,88.07
63,63,5784359,5508299,94.99
64,64,4907215,5397597,90.91
65,65,5914558,5446379,91.4
66,66,5760355,5443049,94.17
67,67,6913143,5399070,71.96
68,68,6140454,5317693,84.53
69,69,5139986,5311353,96.77
70,70,4815299,5295836,90.93
71,71,9750896,11206127,87.01
72,72,4419405,5237525,84.38
73,73,5790318,5181014,88.24
74,74,5041908,5138328,98.12
75,75,5453437,5046096,91.93
76,76,2418658,5064796,47.75
77,77,4599957,4969735,92.56
78,78,4505885,4945484,91.11
79,79,4498409,4909950,91.62
80,80,4250518,4881865,87.07
81,81,5149228,4857152,93.99
82,82,3968727,4853273,81.77
83,83,4521557,4801873,94.16
84,84,4840582,4786259,98.87
85,85,5894279,4775811,76.58
86,86,4482962,4720050,94.98
87,87,4160697,4706158,88.41
88,88,4226735,4699307,89.94
89,89,4522212,4682492,96.58
90,90,4615101,4654266,99.16
91,91,4508880,4667179,96.61
92,92,4794074,4662926,97.19
93,93,4142956,4598985,90.08
94,94,4735020,4584800,96.72
95,95,3801543,4499776,84.48
96,96,3596259,4578239,78.55
97,97,4464553,4515833,98.86
98,98,3914677,4425003,88.47
99,99,4681490,4452755,94.86
100,100,3846804,4421210,87.01
101,101,3934883,4300365,91.5
102,102,4238641,4313871,98.26
103,103,4052724,4313102,93.96
104,104,4583313,4288750,93.13
105,105,3865166,4168353,92.73
106,106,3267981,4111753,79.48
107,107,4310921,4131338,95.65
108,108,4474794,4112608,91.19
109,109,2005679,4090885,49.03
110,110,3995890,4039891,98.91
111,111,6515969,4175526,43.95
112,112,4181264,4058225,96.97
113,113,3643143,4018872,90.65
114,114,4200970,4018341,95.46
115,115,2553190,4002560,63.79
116,116,4102949,4015361,97.82
117,117,3735682,3984814,93.75
118,118,3749362,3963251,94.6
119,119,3571823,3897969,91.63
120,120,3548158,3872015,91.64
121,121,3727209,3849700,96.82
122,122,3992391,3871214,96.87
123,123,5557939,3849129,55.61
124,124,3254611,3749034,86.81
125,125,3573905,3728439,95.86
126,126,3814895,3689325,96.6
127,127,3385954,3653238,92.68
128,128,4013359,3711224,91.86
129,129,3531704,3611166,97.8
130,130,3618895,3587182,99.12
131,131,3188243,3579666,89.07
132,132,3599149,3496526,97.07
133,133,3477124,3566852,97.48
134,134,3394838,3513137,96.63
135,135,3393234,3460212,98.06
136,136,3643361,3450305,94.4
137,137,3522656,3429640,97.29
138,138,3109966,3436092,90.51
139,139,3463473,3418403,98.68
140,140,3010035,3350311,89.84
141,141,4001454,3330326,79.85
142,142,3140174,3379762,92.91
143,143,3011689,3396313,88.68
144,144,2958972,3324874,89.0
145,145,3653412,3317196,89.86
146,146,3314819,3280993,98.97
147,147,3323207,3273879,98.49
148,148,3078249,3248904,94.75
149,149,3187609,3240370,98.37
150,150,2879479,3227647,89.21
151,151,2760985,3130046,88.21
152,152,3093746,3125069,99.0
153,153,3514650,3117859,87.27
154,154,3147557,3100113,98.47
155,155,3329855,3018154,89.67
156,156,3181287,3024666,94.82
157,157,3194892,3049894,95.25
158,158,3311535,3044859,91.24
